ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
5157,simple,10089,22309-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,10,5,0,0,,,,,1,,,34.8,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5158,simple,106183,22310-RHRKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,14,5,0,0,,,,,1,,,37.33,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5159,simple,10149,22310-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,37.5,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5160,simple,10150,22311-RZW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,46.71,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5161,simple,10090,22312-RZKW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,47.02,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5162,simple,107045,22312-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,5,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5163,simple,9241,22312-RZW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,60.29,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5164,simple,3796,22313-RZKW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,79.17,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5165,simple,107046,22313-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5166,simple,107047,22313-RZW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5167,simple,106747,22315-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5168,simple,9242,22315-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,3,5,0,0,,,,,1,,,75.95,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5169,simple,9969,22316-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,12,5,0,0,,,,,1,,,96.1,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5170,simple,10151,22317-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,101.17,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5171,simple,9528,22318-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,13,5,0,0,,,,,1,,,124.24,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5172,simple,105647,22320-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,168.2,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5173,simple,10152,22320-RZW33 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,168.2,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5174,simple,106357,22322-RZKW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,1,5,0,0,,,,,1,,,259.84,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5175,simple,10092,22322-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,4,5,0,0,,,,,1,,,274.66,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5176,simple,9346,22324-RRW33 (????) /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,328.86,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5177,simple,10221,22324-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,3,5,0,0,,,,,1,,,289.29,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5178,simple,9970,23022-RZW33M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,8,5,0,0,,,,,1,,,105.43,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5179,simple,106028,23028-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,0,2,5,0,0,,,,,1,,,158.04,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5180,simple,10153,23030-RZW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,173.89,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5181,simple,9971,23034-RZKW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,231.42,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5182,simple,9972,23034-RZW33C3M /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,6,5,0,0,,,,,1,,,231.42,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5183,simple,9636,2311-C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,7,5,0,0,,,,,1,,,31.41,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
5184,simple,9347,23120-RW33C3 /KOYO,1,1,visible,Koyo Bearings,KOYO,,,taxable,,1,11,5,0,0,,,,,1,,,145.49,Koyo Bearings,,,https://www.elbazest.com/wp-content/uploads/2023/08/pro1-1.jpg,,,,,,,,,0
