ID,Type,SKU,Sold individually?
7697,simple,994,0
7698,simple,958,0
7699,simple,963,0
7700,simple,7151,0
7701,simple,1122,0
7702,simple,1048,0
7703,simple,1058,0
7704,simple,1004,0
7705,simple,1043,0
7706,simple,1120,0
7707,simple,1115,0
7708,simple,1031,0
7709,simple,985,0
7710,simple,900,0
7711,simple,1096,0
7712,simple,1249,0
7713,simple,666,0
7714,simple,386,0
7715,simple,461,0
7716,simple,1321,0
7717,simple,53,0
7718,simple,1343,0
7719,simple,394,0
7720,simple,359,0
7721,simple,1673,0
7722,simple,1300,0
7723,simple,1338,0
7724,simple,1380,0
7725,simple,237,0
7726,simple,1395,0
7727,simple,287,0
7728,simple,1379,0
7729,simple,248,0
7730,simple,1397,0
7731,simple,21,0
7732,simple,1315,0
7733,simple,35,0
7734,simple,1357,0
7735,simple,22,0
7736,simple,810,0
7737,simple,1276,0
7738,simple,549,0
7739,simple,23,0
7740,simple,1351,0
7741,simple,1390,0
7742,simple,7077,0
7743,simple,133,0
7744,simple,586,0
7745,simple,555,0
7746,simple,1296,0
7747,simple,338,0
7748,simple,1384,0
7749,simple,254,0
7750,simple,1378,0
7751,simple,462,0
7752,simple,146,0
7753,simple,1372,0
7754,simple,558,0
7755,simple,348,0
7756,simple,504,0
7757,simple,1327,0
7758,simple,54,0
7759,simple,8146,0
7760,simple,1323,0
7761,simple,7,0
7762,simple,1277,0
7763,simple,661,0
7764,simple,349,0
7765,simple,567,0
7766,simple,673,0
7767,simple,339,0
7768,simple,419,0
7769,simple,31,0
7770,simple,9079,0
7771,simple,489,0
7772,simple,623,0
7773,simple,256,0
7774,simple,199,0
7775,simple,1291,0
7776,simple,1500,0
7777,simple,401,0
7778,simple,1690,0
7779,simple,407,0
7780,simple,1354,0
7781,simple,1501,0
7782,simple,568,0
7783,simple,370,0
7784,simple,99,0
7785,simple,1285,0
7786,simple,420,0
7787,simple,1264,0
7788,simple,697,0
7789,simple,839,0
7790,simple,632,0
7791,simple,1577,0
7792,simple,200,0
7793,simple,822,0
7794,simple,1306,0
7795,simple,736,0
7796,simple,1319,0
7797,simple,861,0
7798,simple,824,0
7799,simple,392,0
7800,simple,875,0
7801,simple,307,0
7802,simple,727,0
7803,simple,66,0
7804,simple,1349,0
7805,simple,713,0
7806,simple,336,0
7807,simple,872,0
7808,simple,1386,0
7809,simple,876,0
7810,simple,1325,0
7811,simple,1346,0
7812,simple,769,0
7813,simple,240,0
7814,simple,1746,0
7815,simple,662,0
7816,simple,43,0
7817,simple,8147,0
7818,simple,1352,0
7819,simple,1606,0
7820,simple,1369,0
7821,simple,708,0
7822,simple,231,0
7823,simple,710,0
7824,simple,1278,0
7825,simple,1339,0
7826,simple,569,0
7827,simple,8148,0
7828,simple,537,0
7829,simple,1284,0
7830,simple,516,0
7831,simple,825,0
7832,simple,363,0
7833,simple,121,0
7834,simple,113,0
7835,simple,8179,0
7836,simple,1328,0
7837,simple,1374,0
7838,simple,8149,0
7839,simple,633,0
7840,simple,1303,0
7841,simple,86,0
7842,simple,1342,0
7843,simple,8975,0
7844,simple,1247,0
7845,simple,1485,0
7846,simple,1307,0
7847,simple,1724,0
7848,simple,6889,0
7849,simple,105977,0
7850,simple,221,0
7851,simple,1255,0
7852,simple,848,0
7853,simple,826,0
7854,simple,1359,0
